Causas (lista reducida);Sexo;Edad;Total
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;Todas las edades;10.588
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;Menores de 1 año;16
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 1 a 4 años;6
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 5 a 9 años;7
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 10 a 14 años;16
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 15 a 19 años;25
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 20 a 24 años;27
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 25 a 29 años;22
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 30 a 34 años;28
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 35 a 39 años;40
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 40 a 44 años;71
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 45 a 49 años;110
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 50 a 54 años;186
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 55 a 59 años;257
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 60 a 64 años;337
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 65 a 69 años;535
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 70 a 74 años;928
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 75 a 79 años;1.559
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 80 a 84 años;2.087
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 85 a 89 años;2.619
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 90 a 94 años;1.364
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 95 años y más;348
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;Todas las edades;16.920
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;Menores de 1 año;7
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 1 a 4 años;10
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 5 a 9 años;12
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 10 a 14 años;10
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 15 a 19 años;13
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 20 a 24 años;9
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 25 a 29 años;15
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 30 a 34 años;24
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 35 a 39 años;25
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 40 a 44 años;44
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 45 a 49 años;65
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 50 a 54 años;129
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 55 a 59 años;182
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 60 a 64 años;303
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 65 a 69 años;452
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 70 a 74 años;789
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 75 a 79 años;1.626
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 80 a 84 años;2.881
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 85 a 89 años;4.856
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 90 a 94 años;3.923
050-052 VI-VIII.Enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 95 años y más;1.545
050 Meningitis (otras en 003);Ambos sexos;Todas las edades;71
050 Meningitis (otras en 003);Ambos sexos;Menores de 1 año;1
050 Meningitis (otras en 003);Ambos sexos;De 1 a 4 años;0
050 Meningitis (otras en 003);Ambos sexos;De 5 a 9 años;0
050 Meningitis (otras en 003);Ambos sexos;De 10 a 14 años;0
050 Meningitis (otras en 003);Ambos sexos;De 15 a 19 años;0
050 Meningitis (otras en 003);Ambos sexos;De 20 a 24 años;0
050 Meningitis (otras en 003);Ambos sexos;De 25 a 29 años;0
050 Meningitis (otras en 003);Ambos sexos;De 30 a 34 años;1
050 Meningitis (otras en 003);Ambos sexos;De 35 a 39 años;1
050 Meningitis (otras en 003);Ambos sexos;De 40 a 44 años;2
050 Meningitis (otras en 003);Ambos sexos;De 45 a 49 años;2
050 Meningitis (otras en 003);Ambos sexos;De 50 a 54 años;4
050 Meningitis (otras en 003);Ambos sexos;De 55 a 59 años;4
050 Meningitis (otras en 003);Ambos sexos;De 60 a 64 años;3
050 Meningitis (otras en 003);Ambos sexos;De 65 a 69 años;8
050 Meningitis (otras en 003);Ambos sexos;De 70 a 74 años;11
050 Meningitis (otras en 003);Ambos sexos;De 75 a 79 años;9
050 Meningitis (otras en 003);Ambos sexos;De 80 a 84 años;6
050 Meningitis (otras en 003);Ambos sexos;De 85 a 89 años;12
050 Meningitis (otras en 003);Ambos sexos;De 90 a 94 años;6
050 Meningitis (otras en 003);Ambos sexos;De 95 años y más;1
050 Meningitis (otras en 003);Hombres;Todas las edades;41
050 Meningitis (otras en 003);Hombres;Menores de 1 año;0
050 Meningitis (otras en 003);Hombres;De 1 a 4 años;0
050 Meningitis (otras en 003);Hombres;De 5 a 9 años;0
050 Meningitis (otras en 003);Hombres;De 10 a 14 años;0
050 Meningitis (otras en 003);Hombres;De 15 a 19 años;0
050 Meningitis (otras en 003);Hombres;De 20 a 24 años;0
050 Meningitis (otras en 003);Hombres;De 25 a 29 años;0
050 Meningitis (otras en 003);Hombres;De 30 a 34 años;0
050 Meningitis (otras en 003);Hombres;De 35 a 39 años;1
050 Meningitis (otras en 003);Hombres;De 40 a 44 años;1
050 Meningitis (otras en 003);Hombres;De 45 a 49 años;0
050 Meningitis (otras en 003);Hombres;De 50 a 54 años;4
050 Meningitis (otras en 003);Hombres;De 55 a 59 años;3
050 Meningitis (otras en 003);Hombres;De 60 a 64 años;2
050 Meningitis (otras en 003);Hombres;De 65 a 69 años;7
050 Meningitis (otras en 003);Hombres;De 70 a 74 años;6
050 Meningitis (otras en 003);Hombres;De 75 a 79 años;6
050 Meningitis (otras en 003);Hombres;De 80 a 84 años;6
050 Meningitis (otras en 003);Hombres;De 85 a 89 años;4
050 Meningitis (otras en 003);Hombres;De 90 a 94 años;1
050 Meningitis (otras en 003);Hombres;De 95 años y más;0
050 Meningitis (otras en 003);Mujeres;Todas las edades;30
050 Meningitis (otras en 003);Mujeres;Menores de 1 año;1
050 Meningitis (otras en 003);Mujeres;De 1 a 4 años;0
050 Meningitis (otras en 003);Mujeres;De 5 a 9 años;0
050 Meningitis (otras en 003);Mujeres;De 10 a 14 años;0
050 Meningitis (otras en 003);Mujeres;De 15 a 19 años;0
050 Meningitis (otras en 003);Mujeres;De 20 a 24 años;0
050 Meningitis (otras en 003);Mujeres;De 25 a 29 años;0
050 Meningitis (otras en 003);Mujeres;De 30 a 34 años;1
050 Meningitis (otras en 003);Mujeres;De 35 a 39 años;0
050 Meningitis (otras en 003);Mujeres;De 40 a 44 años;1
050 Meningitis (otras en 003);Mujeres;De 45 a 49 años;2
050 Meningitis (otras en 003);Mujeres;De 50 a 54 años;0
050 Meningitis (otras en 003);Mujeres;De 55 a 59 años;1
050 Meningitis (otras en 003);Mujeres;De 60 a 64 años;1
050 Meningitis (otras en 003);Mujeres;De 65 a 69 años;1
050 Meningitis (otras en 003);Mujeres;De 70 a 74 años;5
050 Meningitis (otras en 003);Mujeres;De 75 a 79 años;3
050 Meningitis (otras en 003);Mujeres;De 80 a 84 años;0
050 Meningitis (otras en 003);Mujeres;De 85 a 89 años;8
050 Meningitis (otras en 003);Mujeres;De 90 a 94 años;5
050 Meningitis (otras en 003);Mujeres;De 95 años y más;1
051 Enfermedad de Alzheimer;Ambos sexos;Todas las edades;15.571
051 Enfermedad de Alzheimer;Ambos sexos;Menores de 1 año;0
051 Enfermedad de Alzheimer;Ambos sexos;De 1 a 4 años;0
051 Enfermedad de Alzheimer;Ambos sexos;De 5 a 9 años;0
051 Enfermedad de Alzheimer;Ambos sexos;De 10 a 14 años;0
051 Enfermedad de Alzheimer;Ambos sexos;De 15 a 19 años;0
051 Enfermedad de Alzheimer;Ambos sexos;De 20 a 24 años;0
051 Enfermedad de Alzheimer;Ambos sexos;De 25 a 29 años;0
051 Enfermedad de Alzheimer;Ambos sexos;De 30 a 34 años;1
051 Enfermedad de Alzheimer;Ambos sexos;De 35 a 39 años;1
051 Enfermedad de Alzheimer;Ambos sexos;De 40 a 44 años;1
051 Enfermedad de Alzheimer;Ambos sexos;De 45 a 49 años;1
051 Enfermedad de Alzheimer;Ambos sexos;De 50 a 54 años;8
051 Enfermedad de Alzheimer;Ambos sexos;De 55 a 59 años;31
051 Enfermedad de Alzheimer;Ambos sexos;De 60 a 64 años;88
051 Enfermedad de Alzheimer;Ambos sexos;De 65 a 69 años;232
051 Enfermedad de Alzheimer;Ambos sexos;De 70 a 74 años;547
051 Enfermedad de Alzheimer;Ambos sexos;De 75 a 79 años;1.438
051 Enfermedad de Alzheimer;Ambos sexos;De 80 a 84 años;2.804
051 Enfermedad de Alzheimer;Ambos sexos;De 85 a 89 años;5.078
051 Enfermedad de Alzheimer;Ambos sexos;De 90 a 94 años;3.908
051 Enfermedad de Alzheimer;Ambos sexos;De 95 años y más;1.433
051 Enfermedad de Alzheimer;Hombres;Todas las edades;4.515
051 Enfermedad de Alzheimer;Hombres;Menores de 1 año;0
051 Enfermedad de Alzheimer;Hombres;De 1 a 4 años;0
051 Enfermedad de Alzheimer;Hombres;De 5 a 9 años;0
051 Enfermedad de Alzheimer;Hombres;De 10 a 14 años;0
051 Enfermedad de Alzheimer;Hombres;De 15 a 19 años;0
051 Enfermedad de Alzheimer;Hombres;De 20 a 24 años;0
051 Enfermedad de Alzheimer;Hombres;De 25 a 29 años;0
051 Enfermedad de Alzheimer;Hombres;De 30 a 34 años;0
051 Enfermedad de Alzheimer;Hombres;De 35 a 39 años;0
051 Enfermedad de Alzheimer;Hombres;De 40 a 44 años;1
051 Enfermedad de Alzheimer;Hombres;De 45 a 49 años;0
051 Enfermedad de Alzheimer;Hombres;De 50 a 54 años;6
051 Enfermedad de Alzheimer;Hombres;De 55 a 59 años;20
051 Enfermedad de Alzheimer;Hombres;De 60 a 64 años;38
051 Enfermedad de Alzheimer;Hombres;De 65 a 69 años;117
051 Enfermedad de Alzheimer;Hombres;De 70 a 74 años;230
051 Enfermedad de Alzheimer;Hombres;De 75 a 79 años;573
051 Enfermedad de Alzheimer;Hombres;De 80 a 84 años;965
051 Enfermedad de Alzheimer;Hombres;De 85 a 89 años;1.499
051 Enfermedad de Alzheimer;Hombres;De 90 a 94 años;845
051 Enfermedad de Alzheimer;Hombres;De 95 años y más;221
051 Enfermedad de Alzheimer;Mujeres;Todas las edades;11.056
051 Enfermedad de Alzheimer;Mujeres;Menores de 1 año;0
051 Enfermedad de Alzheimer;Mujeres;De 1 a 4 años;0
051 Enfermedad de Alzheimer;Mujeres;De 5 a 9 años;0
051 Enfermedad de Alzheimer;Mujeres;De 10 a 14 años;0
051 Enfermedad de Alzheimer;Mujeres;De 15 a 19 años;0
051 Enfermedad de Alzheimer;Mujeres;De 20 a 24 años;0
051 Enfermedad de Alzheimer;Mujeres;De 25 a 29 años;0
051 Enfermedad de Alzheimer;Mujeres;De 30 a 34 años;1
051 Enfermedad de Alzheimer;Mujeres;De 35 a 39 años;1
051 Enfermedad de Alzheimer;Mujeres;De 40 a 44 años;0
051 Enfermedad de Alzheimer;Mujeres;De 45 a 49 años;1
051 Enfermedad de Alzheimer;Mujeres;De 50 a 54 años;2
051 Enfermedad de Alzheimer;Mujeres;De 55 a 59 años;11
051 Enfermedad de Alzheimer;Mujeres;De 60 a 64 años;50
051 Enfermedad de Alzheimer;Mujeres;De 65 a 69 años;115
051 Enfermedad de Alzheimer;Mujeres;De 70 a 74 años;317
051 Enfermedad de Alzheimer;Mujeres;De 75 a 79 años;865
051 Enfermedad de Alzheimer;Mujeres;De 80 a 84 años;1.839
051 Enfermedad de Alzheimer;Mujeres;De 85 a 89 años;3.579
051 Enfermedad de Alzheimer;Mujeres;De 90 a 94 años;3.063
051 Enfermedad de Alzheimer;Mujeres;De 95 años y más;1.212
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;Todas las edades;11.866
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;Menores de 1 año;22
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 1 a 4 años;16
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 5 a 9 años;19
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 10 a 14 años;26
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 15 a 19 años;38
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 20 a 24 años;36
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 25 a 29 años;37
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 30 a 34 años;50
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 35 a 39 años;63
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 40 a 44 años;112
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 45 a 49 años;172
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 50 a 54 años;303
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 55 a 59 años;404
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 60 a 64 años;549
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 65 a 69 años;747
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 70 a 74 años;1.159
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 75 a 79 años;1.738
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 80 a 84 años;2.158
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 85 a 89 años;2.385
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 90 a 94 años;1.373
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Ambos sexos;De 95 años y más;459
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;Todas las edades;6.032
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;Menores de 1 año;16
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 1 a 4 años;6
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 5 a 9 años;7
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 10 a 14 años;16
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 15 a 19 años;25
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 20 a 24 años;27
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 25 a 29 años;22
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 30 a 34 años;28
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 35 a 39 años;39
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 40 a 44 años;69
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 45 a 49 años;110
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 50 a 54 años;176
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 55 a 59 años;234
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 60 a 64 años;297
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 65 a 69 años;411
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 70 a 74 años;692
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 75 a 79 años;980
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 80 a 84 años;1.116
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 85 a 89 años;1.116
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 90 a 94 años;518
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Hombres;De 95 años y más;127
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;Todas las edades;5.834
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;Menores de 1 año;6
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 1 a 4 años;10
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 5 a 9 años;12
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 10 a 14 años;10
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 15 a 19 años;13
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 20 a 24 años;9
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 25 a 29 años;15
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 30 a 34 años;22
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 35 a 39 años;24
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 40 a 44 años;43
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 45 a 49 años;62
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 50 a 54 años;127
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 55 a 59 años;170
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 60 a 64 años;252
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 65 a 69 años;336
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 70 a 74 años;467
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 75 a 79 años;758
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 80 a 84 años;1.042
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 85 a 89 años;1.269
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 90 a 94 años;855
052 Otras enfermedades del sistema nervioso y de los órganos de los sentidos;Mujeres;De 95 años y más;332
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;Todas las edades;119.853
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;Menores de 1 año;18
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 1 a 4 años;8
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 5 a 9 años;6
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 10 a 14 años;8
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 15 a 19 años;28
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 20 a 24 años;33
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 25 a 29 años;70
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 30 a 34 años;124
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 35 a 39 años;298
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 40 a 44 años;592
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 45 a 49 años;1.151
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 50 a 54 años;1.996
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 55 a 59 años;2.934
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 60 a 64 años;4.073
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 65 a 69 años;5.014
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 70 a 74 años;7.541
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 75 a 79 años;10.967
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 80 a 84 años;17.517
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 85 a 89 años;28.391
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 90 a 94 años;25.662
053-061 IX.Enfermedades del sistema circulatorio;Ambos sexos;De 95 años y más;13.422
053-061 IX.Enfermedades del sistema circulatorio;Hombres;Todas las edades;55.946
053-061 IX.Enfermedades del sistema circulatorio;Hombres;Menores de 1 año;7
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 1 a 4 años;7
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 5 a 9 años;3
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 10 a 14 años;5
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 15 a 19 años;16
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 20 a 24 años;25
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 25 a 29 años;43
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 30 a 34 años;92
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 35 a 39 años;214
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 40 a 44 años;439
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 45 a 49 años;873
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 50 a 54 años;1.577
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 55 a 59 años;2.278
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 60 a 64 años;3.047
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 65 a 69 años;3.642
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 70 a 74 años;5.029
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 75 a 79 años;6.523
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 80 a 84 años;8.675
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 85 a 89 años;11.768
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 90 a 94 años;8.504
053-061 IX.Enfermedades del sistema circulatorio;Hombres;De 95 años y más;3.179
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;Todas las edades;63.907
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;Menores de 1 año;11
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 1 a 4 años;1
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 5 a 9 años;3
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 10 a 14 años;3
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 15 a 19 años;12
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 20 a 24 años;8
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 25 a 29 años;27
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 30 a 34 años;32
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 35 a 39 años;84
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 40 a 44 años;153
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 45 a 49 años;278
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 50 a 54 años;419
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 55 a 59 años;656
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 60 a 64 años;1.026
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 65 a 69 años;1.372
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 70 a 74 años;2.512
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 75 a 79 años;4.444
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 80 a 84 años;8.842
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 85 a 89 años;16.623
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 90 a 94 años;17.158
053-061 IX.Enfermedades del sistema circulatorio;Mujeres;De 95 años y más;10.243
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;Todas las edades;1.297
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;Menores de 1 año;0
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 1 a 4 años;0
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 5 a 9 años;0
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 10 a 14 años;0
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 15 a 19 años;0
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 20 a 24 años;0
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 25 a 29 años;1
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 30 a 34 años;1
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 35 a 39 años;2
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 40 a 44 años;3
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 45 a 49 años;9
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 50 a 54 años;10
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 55 a 59 años;16
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 60 a 64 años;38
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 65 a 69 años;70
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 70 a 74 años;132
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 75 a 79 años;224
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 80 a 84 años;213
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 85 a 89 años;292
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 90 a 94 años;232
053 Enfermedades cardíacas reumáticas crónicas;Ambos sexos;De 95 años y más;54
053 Enfermedades cardíacas reumáticas crónicas;Hombres;Todas las edades;379
053 Enfermedades cardíacas reumáticas crónicas;Hombres;Menores de 1 año;0
053 Enfermedades cardíacas reumáticas crónicas;Hombres;De 1 a 4 años;0
053 Enfermedades cardíacas reumáticas crónicas;Hombres;De 5 a 9 años;0
